idALEC;V1;V2;V3;V4;V5;V6
Ca1;0;0;1;0;0;0
Ca10;0;1;0;0;0;0
Ca2;0;1;1;0;0;0
Ca20;0;1;0;0;0;0
Ca21;0;1;0;0;0;0
Ca3;0;1;0;0;0;0
Ca30;0;1;0;0;0;0
Ca4;1;1;0;0;0;0
Ca40;0;1;0;0;0;0
Ce1;1;0;0;0;0;0
Ce2;1;0;0;0;0;0
Ce20;1;0;0;0;0;0
Ce3;1;0;0;0;0;0
Ce30;1;0;0;0;0;0
Ce4;1;0;0;0;0;0
Ce5;1;0;0;0;0;0
Ce50;1;1;0;0;0;0
Ch1;1;0;0;0;0;0
Ch10;0;0;0;0;0;1
Ch3;0;0;0;0;0;1
Ch30;0;0;1;0;0;0
Ch4;0;0;0;0;0;0
Ch5;1;1;0;0;0;0
Ch6;0;0;0;0;0;0
Ch60;0;0;0;0;0;1
Co1;1;0;0;0;0;0
Co10;1;0;0;0;0;0
Co11;1;0;0;0;0;0
Co2;1;0;0;0;0;0
Co3;1;0;0;0;0;0
Co30;1;0;0;0;0;0
Co4;1;0;0;0;0;0
Co40;1;0;0;0;0;0
Cq2;0;1;0;0;0;0
Cq3;0;0;1;0;0;0
Cs1;0;0;0;0;1;0
Cs3;1;0;0;0;0;0
Cs30;0;0;0;0;1;0
Cs31;0;0;0;0;1;0
Cs5;0;0;0;0;1;0
Cs6;0;0;0;0;1;0
Cu1;1;0;0;0;0;0
Cu10;0;0;0;0;1;0
Cu2;0;0;0;0;1;0
Cu20;0;0;0;0;0;0
Cu21;0;0;0;1;0;0
Cu3;0;0;0;1;0;0
Cu30;0;0;0;1;0;0
Cu31;0;0;0;1;0;0
Cu32;0;0;0;1;0;0
Cu33;0;0;0;1;0;0
Cu34;1;0;0;1;0;0
Cu4;1;0;0;1;0;0
Cu40;0;0;0;0;1;0
Cu41;0;0;0;1;0;0
Cu42;0;0;0;0;0;0
Cu43;0;0;0;1;0;0
Cu44;0;0;0;1;0;0
Cu45;0;0;0;1;1;0
Cu5;0;0;0;1;0;0
Cu50;0;0;0;1;0;0
Cu51;0;0;1;1;0;0
Cu52;0;0;0;1;0;0
Cu6;0;0;0;1;0;0
G3;0;0;0;0;0;0
G30;1;0;0;0;0;0
G31;1;0;0;0;0;0
G4;1;0;0;0;0;0
G40;1;0;0;0;0;0
G5;1;0;0;0;0;0
H2;0;1;0;0;0;0
H3;0;1;1;0;0;0
H30;0;0;1;0;0;0
H31;0;1;1;0;0;0
H4;0;1;0;0;0;0
H5;0;0;1;0;0;0
H50;0;1;1;0;0;0
M1;1;0;0;0;0;0
M2;1;0;0;0;0;0
M20;1;0;0;0;0;0
M21;1;0;0;0;0;0
M3;1;0;0;0;0;0
M30;1;0;0;0;0;0
M31;1;0;0;0;0;0
M4;1;0;0;0;0;0
Me1;0;0;0;1;0;0
Me10;0;1;0;0;0;0
Me2;0;1;0;0;0;0
N1;0;0;1;0;0;0
N3;0;0;0;0;0;0
N30;1;1;0;0;0;0
N31;0;0;0;0;0;0
N4;0;1;0;0;0;0
N40;0;1;0;0;0;0
N6;0;1;0;0;0;0
NS1;1;0;0;0;0;0
NS10;1;0;0;0;0;0
NS3;1;0;0;0;0;0
NS30;1;0;0;0;0;0
NS31;1;0;0;0;0;0
NS32;1;0;0;0;0;0
NS33;1;0;0;0;0;0
NS34;1;0;0;0;0;1
NS4;1;0;0;0;0;0
NS40;1;0;0;0;0;0
NS41;1;0;0;0;0;0
NS5;1;0;0;0;0;1
NS6;1;0;0;0;0;1
NS60;1;0;0;0;0;0
NS61;1;0;0;0;0;0
NS62;1;0;0;0;0;0
NS63;1;0;0;0;0;0
P1;0;1;0;0;0;0
Q1;0;1;0;0;0;0
R1;0;1;0;0;0;0
R3;0;1;0;0;0;0
R6;0;1;0;0;0;0
S1;1;0;0;0;0;0
S10;0;1;0;0;0;0
S11;1;0;0;0;0;0
S2;1;0;0;0;0;0
S3;0;1;0;0;0;0
S4;1;0;0;0;0;0
S40;1;0;0;0;0;0
S41;1;0;0;0;0;0
S42;1;0;0;0;0;0
S43;1;0;0;0;0;0
S44;1;0;0;0;0;0
S45;0;0;0;0;0;1
S5;1;0;0;0;0;0
S50;1;0;0;0;0;0
S51;1;0;0;0;0;0
S52;1;0;0;0;0;0
S6;1;0;0;0;0;0
S60;1;0;0;0;0;0
S61;1;0;0;0;0;0
Su1;1;0;0;0;0;0
Su10;1;0;0;0;0;0
Su2;1;0;0;0;0;0
Su3;1;0;0;0;0;0
Su4;1;0;0;0;0;0
Su6;1;0;0;0;0;0
T2;1;1;0;0;0;0
T20;0;1;0;0;0;0
T21;1;1;0;0;0;0
T22;0;1;0;0;0;0
T23;0;1;0;0;0;0
