idALEC;V1;V2;V3;V4;V5;V6;;;
Cu30;1;0;0;0;0;0;;;
Cu31;0;0;0;1;0;0;;;
Cu32;1;0;0;0;0;0;;;
Cu33;1;0;0;0;0;0;;;
Cu34;1;1;0;0;1;1;;;
Cu4;0;0;1;0;0;0;;;
Cu40;1;0;0;0;0;0;;;
Cu41;1;0;0;0;0;0;;;
Cu42;1;0;0;0;0;0;;;
Cu43;1;0;0;0;0;0;;;
Cu44;0;0;1;0;0;0;;;
Cu45;0;0;0;0;0;0;;;
Cu5;0;1;0;0;0;0;;;
Cu50;0;1;0;0;0;0;;;
Cu51;1;0;0;0;0;0;;;
Cu52;0;0;0;0;0;0;;;
Cu6;0;0;0;0;1;0;;;
G3;0;0;0;0;0;0;;;
G30;0;0;0;0;0;0;;;
G31;1;0;0;0;0;0;;;
G4;1;0;0;0;0;0;;;
G40;0;0;0;0;0;0;;;
G5;1;0;0;0;0;0;;;
H2;1;0;0;0;0;0;;;
H3;0;0;0;1;0;0;;;
H30;0;0;0;0;0;1;;;
H31;0;1;0;0;0;1;;;
H4;0;1;0;0;0;0;;;
H5;1;0;0;0;0;0;;;
H50;0;1;0;0;0;0;;;
M1;0;0;0;0;0;0;;;
M2;0;1;0;0;0;0;;;
M20;1;0;0;0;0;0;;;
M21;0;0;1;0;0;0;;;
M3;0;0;1;0;0;0;;;
M30;1;0;0;0;0;0;;;
M31;1;0;0;0;0;0;;;
M4;1;0;0;0;0;0;;;
Me1;1;0;0;0;0;0;;;
Me10;1;0;0;0;0;0;;;
Me2;0;0;0;0;0;0;;;
N1;1;0;0;0;0;0;;;
N3;0;0;0;0;1;0;;;
N30;0;0;0;0;1;0;;;
N31;1;0;0;0;1;0;;;
N4;0;1;0;0;0;0;;;
N40;0;1;0;0;0;0;;;
N6;0;0;0;0;1;0;;;
NS1;1;0;0;0;0;0;;;
NS10;1;0;0;0;0;0;;;
NS3;1;0;0;0;0;0;;;
NS30;1;0;0;0;0;0;;;
NS31;1;0;0;0;0;0;;;
NS32;0;1;0;0;0;0;;;
NS33;0;1;0;0;0;0;;;
NS34;1;0;0;0;0;0;;;
NS4;1;0;0;0;0;0;;;
NS40;0;0;0;0;1;0;;;
NS41;0;0;0;0;1;0;;;
