idALEC;V1;V2;V3;V4;V5
A1;0;1;0;0;0
A2;1;0;0;0;0
A20;0;0;0;0;0
A3;1;0;0;0;0
A30;1;0;0;0;0
A31;1;0;0;0;1
A32;0;0;0;0;0
A4;0;1;0;0;0
A40;1;0;0;0;0
A41;1;0;0;0;0
A42;1;0;0;0;0
A43;1;0;0;0;0
A44;1;0;0;0;0
A5;1;0;0;0;0
A50;1;0;0;0;1
A51;1;0;0;0;1
A52;1;0;0;0;0
A53;1;0;0;0;0
A54;1;0;0;0;0
A55;1;0;0;0;1
A56;1;0;0;0;1
A6;0;0;1;0;1
A60;0;0;0;0;0
A61;0;0;1;0;0
A62;0;0;1;1;0
A63;0;0;0;1;0
Ar2;1;0;0;0;0
Ar3;1;0;0;0;0
At2;1;1;0;0;0
At3;0;1;0;0;0
At6;1;1;0;0;0
B1;0;0;1;0;0
B10;0;0;0;0;0
B11;0;0;1;0;0
B12;0;1;0;0;0
B13;0;0;0;0;0
B14;0;1;0;0;0
B15;0;0;1;0;0
B16;0;0;1;0;0
B4;0;1;0;0;0
B40;0;1;0;0;0
B6;1;0;0;0;0
Bo2;1;0;0;0;0
Bo3;1;0;0;0;0
Bo30;0;0;0;0;0
Bo31;0;0;0;0;0
Bo32;1;0;0;0;0
Bo4;1;0;0;0;0
Bo40;1;0;0;0;0
Bo41;1;0;0;0;0
Bo42;1;0;0;0;0
Bo43;1;0;0;0;0
Bo44;1;0;0;0;0
Bo45;1;0;0;0;0
Bo46;1;0;0;0;0
Bo47;1;0;0;0;0
Bo5;1;0;0;0;0
Bo50;1;0;0;0;0
Bo6;1;0;0;0;0
Bo60;1;0;0;0;0
C1;1;0;0;0;0
C2;1;0;0;0;0
C3;1;0;0;0;0
C4;1;0;0;0;0
C5;1;0;0;0;0
Ca1;1;0;0;0;0
Ca10;0;0;0;1;0
Ca2;1;0;0;0;0
Ca20;1;0;0;0;0
Ca21;1;0;0;1;0
Ca3;1;0;0;0;0
Ca30;1;0;0;0;0
Ca4;1;0;0;0;0
Ca40;1;0;0;0;0
Ce1;1;1;0;0;0
Ce2;0;1;0;0;0
Ce20;1;1;0;0;0
Ce3;1;0;0;0;0
Ce30;1;0;0;0;0
Ce4;1;0;0;0;0
Ce5;0;1;0;0;0
Ce50;0;1;0;0;0
Ch1;1;1;0;0;0
Ch10;1;1;0;0;0
Ch3;1;0;0;0;0
Ch30;1;0;0;0;0
Ch4;0;1;0;0;0
Ch5;1;0;0;0;0
Ch6;0;1;0;0;0
Ch60;0;1;0;0;0
Co1;0;0;0;0;0
Co10;1;0;0;0;0
Co11;0;0;0;0;0
Co2;1;0;0;0;0
Co3;0;0;1;0;0
Co30;1;0;1;0;0
Co4;1;0;0;0;0
Co40;1;0;0;0;0
Cq2;1;0;0;0;0
Cq3;1;0;0;0;0
Cs1;1;0;0;0;0
Cs3;1;0;0;0;0
Cs30;1;0;0;0;0
Cs31;1;0;0;0;0
Cs5;1;0;0;0;0
Cs6;1;0;0;0;0
Cu1;1;0;0;0;0
Cu10;1;0;0;0;0
Cu2;1;0;0;0;0
Cu20;1;0;0;0;0
Cu21;1;0;0;0;0
Cu3;1;0;0;0;0
Cu30;1;0;0;0;0
Cu31;1;0;0;0;0
Cu32;1;0;0;0;0
Cu33;1;0;0;0;0
Cu34;1;1;0;0;0
Cu4;1;0;0;0;0
Cu40;1;0;0;0;0
Cu41;1;0;0;0;0
