idALEC;V1;V2;V3;V4;V5;V6;V7
H3;0;0;1;1;0;0;0
H30;0;0;0;1;0;0;0
H31;0;0;0;1;0;0;0
H4;1;0;1;0;0;0;0
H5;1;0;0;0;0;0;0
H50;1;0;0;0;0;0;0
M1;0;0;0;1;0;0;0
M2;0;0;1;1;0;0;0
M20;0;0;0;1;0;0;0
M21;0;1;0;0;0;0;0
M3;0;0;1;1;0;0;0
M30;0;0;0;0;0;1;0
M31;0;0;0;1;0;0;0
M4;0;1;1;0;0;0;0
Me1;0;1;0;1;0;0;0
Me10;0;0;0;1;0;0;0
Me2;0;0;0;1;0;0;0
N1;0;0;0;1;0;0;0
N3;1;1;0;0;0;0;0
N30;0;0;0;1;0;0;0
N31;1;0;0;1;0;0;0
N4;1;0;0;1;0;0;0
N40;0;0;0;1;0;0;0
N6;1;0;0;0;0;0;0
NS1;0;1;0;0;0;0;0
NS10;0;0;1;1;0;0;0
NS3;1;1;0;1;0;0;0
NS30;0;1;0;1;0;0;0
NS31;0;1;0;0;0;0;0
NS32;0;0;0;1;0;0;0
NS33;1;1;0;0;0;0;0
NS34;1;1;0;1;0;0;0
NS4;1;1;0;0;0;0;0
NS40;1;0;0;0;0;0;0
NS41;0;1;0;0;0;0;0
NS5;1;1;0;0;0;0;0
NS6;1;1;0;0;0;0;0
NS60;0;1;0;0;0;0;0
NS61;1;1;0;0;0;0;0
NS62;0;1;0;0;0;0;0
NS63;0;0;0;1;0;0;0
P1;0;1;0;0;0;0;0
Q1;1;0;1;0;0;0;0
R1;1;0;1;1;0;0;0
R3;0;0;1;1;0;1;0
R6;1;0;1;0;0;0;0
S1;0;0;0;1;0;0;0
S10;0;1;0;0;0;0;0
S11;1;1;0;0;0;0;0
S2;0;1;0;0;0;0;0
S3;0;0;0;0;0;1;0
S4;0;1;0;0;0;0;0
S40;0;1;0;0;0;0;0
S41;1;0;0;1;0;0;0
S42;1;0;0;1;0;0;0
S43;0;1;0;1;0;0;0
S44;0;1;0;0;0;0;0
S45;0;1;0;0;0;0;0
S5;0;1;0;0;0;0;0
S50;0;1;0;1;0;0;0
S51;1;1;1;1;0;0;0
S52;0;1;0;1;0;0;0
S6;1;1;0;0;0;0;0
S60;0;0;0;1;0;0;0
S61;1;1;0;0;0;0;0
Su1;0;0;1;0;0;1;0
