idALEC;V1;V2;v3;v4
NS63;0;1;0;0
P1;1;0;0;0
Q1;0;1;0;0
R1;0;1;0;0
R3;0;1;0;0
R6;0;1;0;0
S1;1;1;0;0
S10;1;0;0;0
S11;0;1;0;0
S2;1;0;1;0
S3;0;1;0;0
S4;1;0;1;1
S40;1;0;0;0
S41;0;0;1;0
S42;1;1;0;0
S43;1;0;1;0
S44;1;0;0;1
S45;1;0;0;1
S5;0;1;0;0
S50;1;1;0;0
S51;1;0;1;1
S52;1;0;0;0
S6;1;0;0;0
S60;0;0;1;1
S61;0;0;1;1
Su1;0;1;0;0
Su10;0;1;0;0
Su2;1;1;0;0
Su3;0;1;0;0
Su4;1;1;0;0
Su6;0;1;0;0
T2;1;1;1;0
T20;0;1;0;0
T21;1;0;0;0
T22;1;0;1;1
T23;1;0;0;0
T3;1;0;0;0
T4;1;0;0;0
T40;1;0;0;1
T41;1;0;0;0
T42;1;0;0;0
T43;0;1;0;0
T44;0;0;1;0
T5;1;0;0;0
T50;1;0;0;0
T6;1;0;0;0
T60;1;1;0;0
V2;0;1;0;0
V20;0;0;0;0
V21;0;1;0;0
V3;1;0;0;0
V4;1;0;0;0
V40;1;1;0;1
V41;0;1;0;0
V42;1;0;0;0
V5;0;0;0;1
V6;1;0;0;0
V60;0;0;1;0
V61;0;0;1;0
V62;0;0;1;0
V63;0;0;1;0
